signal,SampleEndYear,n_in,n_out,ret_in,ret_out,sharpe_in,sharpe_out,t_in,t_out,ret_decay
ChAssetTurnover,2002,594,264,0.04404085782665122,-0.017794603408974288,0.38166822542437895,-0.17848929190900736,2.523346108573201,-0.8081359412515233,-0.06183546123562551
ChEQ,2007,546,204,0.058078816786706525,0.02179549764305333,0.406110787165199,0.19711656013569184,2.739584038670376,0.682055564960748,-0.036283319143653195
ChInv,1997,546,324,0.055001267737919066,0.037614777724735315,0.5259882831927871,0.31966184489985616,3.295312660662645,1.7932721244036167,-0.01738649001318375
ChInvIA,1988,438,432,0.046366538303049105,0.04165014665790433,0.4723507270577577,0.3039260895898921,2.6395830904878173,1.909775682839222,-0.004716391645144778
ChNNCOA,2002,606,264,0.025387549480520435,-0.010781135453124105,0.2440965432852123,-0.12408387689174445,1.749914916812755,-0.46873097481040904,-0.03616868493364454
ChNWC,2002,606,264,0.05042488925505787,0.004101488751851744,0.5090884107527484,0.053080231471492614,3.4596406672750346,0.27606593200276086,-0.04632340050320613
ChTax,2006,531,216,0.06359452764893156,0.006509109683776673,0.46998988621805765,0.06350989260226361,3.342978266890494,0.26652245719966094,-0.057085417965154886
CompEquIss,2003,875,252,0.050825827401730736,0.09143703966898664,0.3046676877167736,0.593550040598593,2.3549166060926496,2.6620168077196893,0.040611212267255906
CompositeDebtIssuance,2005,594,228,0.0032821567482674624,-0.022145120809152485,0.029215795657182263,-0.17601819042322853,0.18177330852956897,-0.7421768668227409,-0.02542727755741995
CoskewACX,2001,473,276,0.015616506942322438,0.04387058879341796,0.12541787992958256,0.2912634400363532,0.8265528342206137,1.4437565343948127,0.02825408185109552
CustomerMomentum,2004,330,240,0.10578168896021684,0.03922866529149617,0.40215404200527033,0.2616143645498883,2.0073756792657487,1.2098109648065982,-0.06655302366872066
DelBreadth,1998,222,312,0.015947511537546356,0.03243550455774652,0.1593332528345601,0.20778520582259977,0.6612253293714794,1.1890959849371145,0.016487993020200164
DelCOA,2001,594,276,0.06347955431100247,-0.014656289335012358,0.5248641720460063,-0.12002255550880592,3.6650589011662853,-0.5695089236570954,-0.07813584364601482
DelCOL,2001,594,276,-0.002334384832199267,-0.019798273473163347,-0.018060867592699693,-0.15440049716981433,-0.12650032976279382,-0.7067589620014765,-0.01746388864096408
